q1,q2,q3,q4,q5,q6,q7
-89.99476,-89.99703,-97.08355,-89.74795,91.76561,11.559171,-15.208534
-89.99496,-89.995705,-95.89221,-90.88576,91.412766,12.723893,-13.814974
-89.99648,-89.99567,-89.30239,-94.96951,88.081726,8.753596,-9.426468
-89.99336,-90.02592,-96.223724,-93.95596,101.41302,-13.208122,-24.760431
-89.99499,-90.02128,-94.208435,-91.0386,94.139206,-13.855691,-14.248467
-89.9938,-90.018906,-91.760765,-95.47238,97.21571,10.882743,-30.457169
-89.99777,-89.97222,-88.87841,-89.74336,81.92792,44.10531,-10.472376
-89.99796,-89.96615,-91.075615,-89.56546,83.17924,55.472477,-15.084629
-89.99841,-89.96281,-90.36908,-90.36819,82.34952,60.684467,-16.323324
-89.99891,-89.9614,-88.04919,-90.47513,79.36834,63.691856,-18.066275
-89.992714,-90.00866,-89.85795,-96.813065,91.741455,45.658356,-9.767058
